topic,n,mean_procedural_score,mean_cluster_score,mean_abs_disagreement,cluster_high_share,procedural_high_share,mean_word_count
goods and services tax opposition,6,0.3333333333333333,0.125,0.20833333333333334,0.16666666666666666,0.16666666666666666,345.6666666666667
Young Offenders Act amendments,6,0.16666666666666666,0.5,0.4166666666666667,0.16666666666666666,0.0,366.8333333333333
breach of privilege,6,0.7916666666666666,0.75,0.125,0.6666666666666666,1.0,103.83333333333333
VIA Rail passenger service,6,0.125,0.0,0.125,0.0,0.0,134.33333333333334
unemployment and economic policy,6,0.125,0.0,0.125,0.0,0.0,375.8333333333333
capital punishment debate,6,0.26666666666666666,0.625,0.39166666666666666,0.6666666666666666,0.16666666666666666,276.5
unanimous consent for private members' business,6,0.8333333333333334,0.9583333333333334,0.125,1.0,1.0,66.5
Small Businesses Loans Act amendments,6,0.19999999999999998,0.16666666666666666,0.11666666666666665,0.16666666666666666,0.16666666666666666,860.5
Western Grain Transportation Act amendments,6,0.2916666666666667,0.5,0.4583333333333333,0.5,0.0,371.3333333333333
unanimous consent for motions,6,0.875,0.9583333333333334,0.08333333333333333,1.0,1.0,133.0
closing rural post offices,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,155.5
youth unemployment programs,6,0.041666666666666664,0.125,0.16666666666666666,0.16666666666666666,0.0,111.5
Canadian flag design debate,6,0.3333333333333333,0.4583333333333333,0.375,0.5,0.16666666666666666,722.0
unanimous consent for debate time,6,0.7916666666666666,0.875,0.08333333333333333,1.0,1.0,72.5
ministerial conflict of interest guidelines,6,0.20833333333333334,0.5833333333333334,0.375,0.3333333333333333,0.0,130.16666666666666
freedom of information legislation,6,0.3333333333333333,0.5,0.4166666666666667,0.3333333333333333,0.16666666666666666,169.16666666666666
committee procedure,6,0.75,0.875,0.125,1.0,1.0,77.5
unemployment and job creation programs,6,0.08333333333333333,0.125,0.20833333333333334,0.16666666666666666,0.0,158.5
objection to electoral boundaries report,6,0.75,0.5,0.25,0.0,1.0,111.66666666666667
unemployment and government policy,6,0.20833333333333334,0.0,0.20833333333333334,0.0,0.0,498.3333333333333
goods and services tax debate,6,0.4166666666666667,0.125,0.2916666666666667,0.16666666666666666,0.3333333333333333,790.3333333333334
Western Grain Transportation Act,6,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.16666666666666666,272.0
order of business and government legislation,6,0.7083333333333334,0.875,0.16666666666666666,1.0,0.8333333333333334,240.0
implementation of disabled persons report recommendation,6,0.0,0.75,0.75,1.0,0.0,58.0
division vote count,6,0.9583333333333334,0.5,0.4583333333333333,0.0,1.0,157.83333333333334
budget and unemployment,6,0.20833333333333334,0.125,0.25,0.16666666666666666,0.0,230.16666666666666
capital punishment and public opinion,6,0.20833333333333334,0.0,0.20833333333333334,0.0,0.0,922.6666666666666
repatriation of the constitution,6,0.125,0.4166666666666667,0.375,0.5,0.0,206.0
urgency of debate,6,0.9166666666666666,0.9583333333333334,0.125,1.0,1.0,72.33333333333333
refugee determination process,6,0.08333333333333333,0.5416666666666666,0.4583333333333333,0.16666666666666666,0.0,137.0
interest rates and monetary policy,6,0.20833333333333334,0.4166666666666667,0.2916666666666667,0.5,0.0,211.83333333333334
referendum on constitutional amendments,6,0.16666666666666666,0.875,0.7083333333333334,0.8333333333333334,0.0,101.33333333333333
interest rates and unemployment,6,0.16666666666666666,0.041666666666666664,0.125,0.0,0.0,313.8333333333333
constitutional reform and national unity,6,0.20833333333333334,0.0,0.20833333333333334,0.0,0.0,921.3333333333334
national flag design debate,6,0.3333333333333333,0.625,0.375,0.8333333333333334,0.16666666666666666,297.6666666666667
Western Grain Transportation Act freight rates,6,0.24166666666666667,0.0,0.24166666666666667,0.0,0.0,608.8333333333334
question period time allocation,6,0.75,0.9583333333333334,0.20833333333333334,1.0,1.0,64.66666666666667
international trade negotiations,6,0.125,0.5833333333333334,0.4583333333333333,0.5,0.0,112.83333333333333
classified positions by department and salary,6,0.0,0.5,0.5,0.0,0.0,74.66666666666667
Farm Products Marketing Agencies Bill,6,0.3333333333333333,0.08333333333333333,0.25,0.0,0.0,1112.8333333333333
Income Tax Act amendment,6,0.3333333333333333,0.625,0.625,0.6666666666666666,0.0,98.0
partisan rhetoric,6,0.75,0.5,0.25,0.0,1.0,58.833333333333336
War Measures Act and civil liberties,6,0.25,0.08333333333333333,0.25,0.0,0.0,406.1666666666667
inflation and government spending,6,0.16666666666666666,0.20833333333333334,0.2916666666666667,0.16666666666666666,0.0,640.6666666666666
minister misleading the house,6,0.75,0.625,0.2916666666666667,0.3333333333333333,1.0,123.5
job creation in Quebec,6,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,86.0
funding for women's centres,6,0.20833333333333334,0.2916666666666667,0.3333333333333333,0.16666666666666666,0.0,708.0
Local Initiatives Program grant applications,6,0.0,0.5,0.5,0.0,0.0,53.5
ministerial responsibility for questions,5,0.7,0.9,0.3,0.8,0.8,229.4
transportation of dangerous goods regulations,5,0.15,0.5,0.35,0.0,0.0,134.0
time allocation for debate,5,0.7,0.75,0.05,1.0,0.8,86.0
third reading of bill,5,0.8,0.7,0.3,0.6,1.0,70.8
free trade agreement and Canadian sovereignty,5,0.25,0.0,0.25,0.0,0.0,195.6
taxation of life insurance policies,5,0.15,0.1,0.15,0.0,0.0,405.4
VIA Rail passenger service funding,5,0.15,0.0,0.15,0.0,0.0,517.2
order of business for upcoming legislation,5,0.7,0.5,0.2,0.4,0.8,175.6
tax benefits for northern and isolated areas,5,0.2,0.2,0.2,0.0,0.0,102.4
point of order regarding member's statement,5,0.75,0.9,0.25,0.8,1.0,87.0
order of speakers,5,0.85,0.8,0.15,0.8,1.0,76.4
national flag debate,5,0.45,0.6,0.15,0.4,0.2,134.2
student summer employment programs,5,0.05,0.3,0.25,0.0,0.0,98.6
unemployment insurance legislation,5,0.2,0.2,0.3,0.2,0.0,134.0
foreign ownership of Canadian economy,5,0.22000000000000003,0.1,0.18,0.0,0.0,890.8
point of order on relevance,5,0.75,1.0,0.25,1.0,1.0,126.6
access to government documents,5,0.3,0.6,0.4,0.8,0.0,478.6
wheat acreage reduction program,5,0.15,0.1,0.25,0.0,0.0,1350.8
unemployment insurance eligibility,5,0.2,0.1,0.2,0.0,0.0,248.0
breach of parliamentary privilege,5,0.75,0.75,0.1,0.8,1.0,348.2
conflict of interest guidelines for ministers,5,0.25,0.6,0.35,0.6,0.2,669.8
War Veterans Allowance Act amendments,5,0.1,0.2,0.2,0.2,0.0,344.4
parliamentary debate time allocation,5,0.75,0.75,0.0,1.0,1.0,272.2
economic policy and unemployment,5,0.16999999999999998,0.1,0.16999999999999998,0.0,0.0,420.4
closure motion debate,5,0.7,0.75,0.15,0.8,0.8,68.6
parliamentary language,5,0.75,0.65,0.2,0.4,1.0,85.6
LIP project grant application details,5,0.0,0.5,0.5,0.0,0.0,77.6
Standing Order 43 procedure,5,0.85,1.0,0.15,1.0,1.0,232.8
high interest rate policy,5,0.1,0.25,0.25,0.2,0.0,105.4
national debt and government spending,5,0.25,0.15,0.3,0.2,0.0,454.8
ministerial conduct,5,0.7,0.65,0.25,0.4,0.8,82.8
Canada Labour Code amendments,5,0.15,0.35,0.4,0.2,0.0,275.4
unemployment insurance act amendment,5,0.3,0.5,0.4,0.4,0.0,227.6
Unemployment Insurance Act amendments,5,0.22000000000000003,0.0,0.22000000000000003,0.0,0.0,432.0
ministerial attendance,5,0.5,0.4,0.2,0.0,0.2,65.2
Goods and Services Tax (GST),5,0.3,0.45,0.25,0.4,0.2,161.0
interpretation of parliamentary rules,5,0.75,0.8,0.15,0.8,1.0,152.6
old age pensions,5,0.25,0.35,0.3,0.2,0.0,108.2
clarification of previous statement,5,0.75,0.7,0.15,0.6,1.0,82.0
Opportunities for Youth program funding,5,0.15,0.3,0.35,0.0,0.0,424.8
parliamentary procedure and rules,5,0.8,0.85,0.05,1.0,1.0,265.0
official languages in public service,5,0.15,0.4,0.35,0.2,0.0,107.8
Canada Pension Plan,5,0.25,0.3,0.25,0.2,0.0,447.6
partisan attack,5,0.85,0.65,0.2,0.6,1.0,61.6
Atlantic Canada Opportunities Agency funding,5,0.15,0.3,0.35,0.4,0.0,621.2
misleading the House,5,0.75,0.75,0.1,0.8,1.0,79.0
government support for agriculture,5,0.16999999999999998,0.15,0.22000000000000003,0.2,0.0,376.8
unemployment and government inaction,5,0.3,0.2,0.3,0.2,0.0,148.0
production of papers,5,0.75,0.9,0.25,0.8,1.0,84.8
production of documents,5,0.75,0.85,0.2,0.8,1.0,112.6
notification of electoral district vacancy,5,0.75,0.55,0.2,0.2,1.0,61.2
division vote,5,1.0,0.5,0.5,0.0,1.0,131.4
old age pension increase,5,0.1,0.0,0.1,0.0,0.0,114.6
patriation of the Canadian constitution,5,0.12,0.3,0.38,0.4,0.0,694.0
old age security pension indexation,5,0.25,0.0,0.25,0.0,0.0,195.4
private members' business order of precedence,5,0.75,0.95,0.2,1.0,1.0,144.4
UN sanctions against Iraq,5,0.1,0.4,0.3,0.2,0.0,178.4
Prime Minister's travel expenses,5,0.15,0.65,0.5,0.6,0.0,180.4
election timing,5,0.6,0.65,0.05,0.6,0.6,60.2
compensation for victims of crime,5,0.02,0.2,0.22000000000000003,0.0,0.0,535.0
Patent Act changes and prescription drug prices,5,0.25,0.1,0.25,0.0,0.0,104.6
petition against free trade agreement,5,0.5,0.0,0.5,0.0,0.2,110.2
Patent Act changes on prescription drugs,5,0.15,0.1,0.15,0.0,0.0,93.2
Canadian dollar exchange rate policy,5,0.06999999999999999,0.25,0.22000000000000003,0.2,0.0,158.6
deferral of recorded division,5,0.9,1.0,0.1,1.0,1.0,71.8
goods and services tax on books,5,0.25,0.0,0.25,0.0,0.0,125.0
correction of Hansard record,5,0.65,0.65,0.1,0.4,0.6,150.8
question period length,5,0.65,0.75,0.2,0.6,0.6,75.6
order of business for bills,4,0.75,0.8125,0.0625,1.0,1.0,134.5
amendments to bill,4,0.5,1.0,0.5,1.0,0.25,79.25
amendments to the Immigration Act,4,0.125,0.6875,0.6875,0.75,0.0,81.75
order of business for government bills,4,0.75,0.625,0.25,0.75,1.0,132.0
amendments to the Income Tax Act,4,0.0875,0.0,0.0875,0.0,0.0,1285.75
order of business for legislation,4,0.6875,0.5,0.3125,0.5,0.75,182.0
order of business for the house,4,0.75,0.6875,0.0625,0.75,1.0,200.5
parliamentary control over government spending,4,0.3375,0.3125,0.275,0.25,0.0,499.5
capital punishment as a deterrent,4,0.0625,0.25,0.3125,0.0,0.0,574.5
parliamentary decorum,4,0.8125,0.75,0.1875,0.75,1.0,73.0
parliamentary procedure and partisan attacks,4,0.75,0.75,0.0,1.0,1.0,229.0
parliamentary procedure and reform,4,0.5625,0.75,0.1875,1.0,0.25,772.5
parliamentary procedure debate,4,0.75,0.5625,0.1875,0.25,1.0,82.75
Canadian flag debate,4,0.375,0.3125,0.1875,0.25,0.0,216.25
budget deficit and government spending,4,0.25,0.1875,0.3125,0.25,0.0,497.25
point of order debate,4,0.75,0.875,0.25,0.75,1.0,63.5
point of order on privilege,4,0.9375,1.0,0.0625,1.0,1.0,146.0
federal-provincial transfer payments,4,0.1875,0.0,0.1875,0.0,0.0,120.0
Western Grain Transportation Act subsidies,4,0.1875,0.0,0.1875,0.0,0.0,315.25
Income Tax Act amendment procedure,4,0.6875,1.0,0.3125,1.0,0.75,254.5
Income Tax Act amendments,4,0.1875,0.25,0.4375,0.25,0.0,132.75
points of order and privilege,4,0.9375,0.9375,0.125,1.0,1.0,194.25
privatization of Air Canada,4,0.25,0.0,0.25,0.0,0.0,1040.25
provincial-federal fiscal relations,4,0.25,0.25,0.25,0.0,0.0,77.25
provincial-federal relations,4,0.25,0.3125,0.3125,0.25,0.0,81.25
constitutional amendment process,4,0.3125,0.5625,0.5,0.75,0.0,221.0
question of privilege regarding member's remarks,4,0.75,0.625,0.25,0.25,1.0,153.25
budget deficit and interest rates,4,0.1875,0.0,0.1875,0.0,0.0,265.75
question period procedures,4,0.75,0.75,0.125,0.75,1.0,80.5
consultation on Bill C-130 with Indian bands,4,0.0,0.25,0.25,0.0,0.0,103.75
Meech Lake Accord and Quebec's distinct society,4,0.0875,0.0,0.0875,0.0,0.0,803.25
reading speeches,4,0.9375,1.0,0.0625,1.0,1.0,81.5
referendum on official languages,4,0.25,0.375,0.25,0.0,0.0,80.25
referral of bills to committee,4,0.6875,0.75,0.0625,1.0,0.75,111.25
referring to members by name,4,1.0,0.875,0.125,0.75,1.0,68.25
Prairie Grain Stabilization Act,4,0.1875,0.0,0.1875,0.0,0.0,725.5
refugee status determination process,4,0.1875,0.125,0.3125,0.0,0.0,582.25
regional development programs,4,0.125,0.1875,0.1875,0.25,0.0,121.75
relevancy of debate,4,0.875,0.75,0.125,0.5,1.0,73.75
admissibility of amendment,4,0.75,1.0,0.25,1.0,1.0,107.25
representation in the House of Commons,4,0.5625,0.4375,0.125,0.25,0.5,212.0
Senate appointments,4,0.5,0.5625,0.3125,0.75,0.25,60.0
sale of Canadian Arsenals Limited,4,0.25,0.0,0.25,0.0,0.0,629.0
second reading debate procedure,4,0.75,0.9375,0.1875,1.0,1.0,91.0
student summer employment,4,0.0,0.3125,0.3125,0.25,0.0,124.25
supplementary questions,4,0.875,1.0,0.125,1.0,1.0,60.25
supply proceedings,4,0.8125,1.0,0.1875,1.0,1.0,53.25
support for farmers,4,0.1875,0.125,0.1875,0.0,0.0,101.75
tabling of a document,4,0.75,0.9375,0.1875,1.0,1.0,74.5
tabling of a letter,4,0.75,0.6875,0.0625,0.75,1.0,102.0
tabling of a report,4,0.75,0.5,0.25,0.0,1.0,65.75
tabling of petitions report,4,0.75,1.0,0.25,1.0,1.0,57.75
tabling of petitions reports,4,0.75,1.0,0.25,1.0,1.0,56.25
unanimous consent for question period,4,0.875,0.9375,0.0625,1.0,1.0,108.75
unanimous consent ruling,4,0.875,1.0,0.125,1.0,1.0,73.5
unanimous consent to proceed,4,0.875,0.9375,0.1875,1.0,1.0,85.25
unanimous consent to withdraw amendment,4,0.875,0.9375,0.0625,1.0,1.0,135.5
amending the British North America Act,4,0.25,0.875,0.625,1.0,0.0,476.0
unemployment and economic recovery,4,0.1875,0.0,0.1875,0.0,0.0,193.75
Canada Pension Plan amendments,4,0.125,0.4375,0.4375,0.5,0.0,232.0
unemployment and inflation policy,4,0.1875,0.1875,0.375,0.25,0.0,338.25
confidence in Minister of Finance,4,0.625,0.5625,0.1875,0.25,0.5,82.25
committee meeting scheduling,4,0.75,0.75,0.0,1.0,1.0,100.75
unemployment insurance and pension income,4,0.125,0.0,0.125,0.0,0.0,212.75
unemployment insurance benefit cuts,4,0.25,0.0,0.25,0.0,0.0,731.0
unemployment insurance benefit eligibility,4,0.1875,0.0,0.1875,0.0,0.0,1323.5
unemployment insurance for early retirees,4,0.125,0.1875,0.3125,0.25,0.0,169.75
Canadian sovereignty in the Arctic,4,0.0625,0.375,0.3125,0.25,0.0,335.5
