topic,category,error
Auditor General's examination of departmental estimates,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
privilege and public accounts committee referral,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
tariff reduction and choice of transportation,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
order and procedure,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
election campaign financing reform,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
election campaign finance reform,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Roosevelt memorial bridge customs service,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Roosevelt memorial bridge service restoration,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
national defence and foreign policy,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
divorce bill and family court services,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
divorce bills evidence and procedure,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Liberal caucus,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Canada's acquisition of nuclear weapons,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Canada's nuclear policy and NATO,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
debate time allocation,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
national defence and nuclear weapons policy,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
unanimous consent for debate,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Canada's nuclear weapons policy and defence strategy,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
Prime Minister's fitness,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
unclear,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
definition of surplus strips,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
bankruptcies and insolvencies statistics,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
royal commission on banking and finance,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
parliamentary approval of government estimates,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
fisheries commission report to committee,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
orders of the day,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
committee debate rules,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
government spending and national policy,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
National Economic Development Board Act,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
international north Pacific fisheries commission,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
winter works program and municipal financing,,"ParseError: expected 50 labels, got 49: [
""Intergovernmental & Constitutional Affairs"",
""Intergovernmental & Constitutional Affairs"",
""Government Operations & Ethics"",
""Economic & Fiscal Policy"",
""Agriculture & Natural Resources"",
""Parliame"
consultation on appointments to economic development board,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
parliamentary debate on productivity council report,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
consultation on appointments to boards,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
fair prices and supply and demand,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
guarantees in elections,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
National Economic Development Board,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
economic and financial policy,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
St. Eustache post office enlargement,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
unemployment insurance fund,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
trans-Canada highway funding,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
statement to Japanese press,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
election campaign statements on employment,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
minister's foreign exchange position,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
creation of a committee,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
parliamentary procedure reform,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
United States government statements,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
urgency of debate on US statement,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
United States-Canadian joint negotiations,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
surcharge and imports order documents,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
privileged advice to government officials,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
legality of surcharges,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
role of the clerk of the privy council,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
parliamentary principle vs bureaucratic control,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
legality of orders in council,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
defence policy and continental defence,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
defence policy,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
NATO unity and Prime Minister's remarks,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
Canada-US defence committee meeting,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
unemployment insurance act amendments,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
unemployment insurance benefit levels,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
unemployment insurance benefit recipients,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
unemployment insurance fund and figures,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
federal-provincial government responsibilities,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
labour estimates,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
Industrial Relations and Disputes Investigation Act,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
welfare of the people of Canada,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
amendment to the Criminal Code,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
resignation over nuclear weapons policy,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
Public Works work on Grand Cascapedia river,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
preservation of Sir John Johnson house,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
civil service employment qualifications,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
parliamentary defence committee,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
fairness of debate and amendment procedure,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
election timing and government responsibility,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
general praise for Canada and its people,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
opposition obstruction of government business,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
Canada's NATO commitments,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
Canada-US defence relations,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
butter consumer subsidy,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
wheat sales negotiations,,"ParseError: expected 50 labels, got 48: [""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Economic & Fiscal "
Canadian wheat board export performance,,"ParseError: expected 50 labels, got 49: [""Trade & Industry"", ""Agriculture & Natural Resources"", ""Agriculture & Natural Resources"", ""Social Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Parliam"
international north Pacific fisheries commission policy,,"ParseError: expected 50 labels, got 49: [""Trade & Industry"", ""Agriculture & Natural Resources"", ""Agriculture & Natural Resources"", ""Social Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Parliam"
salmon runs and hydro installations,,"ParseError: expected 50 labels, got 49: [""Trade & Industry"", ""Agriculture & Natural Resources"", ""Agriculture & Natural Resources"", ""Social Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Parliam"
federal assistance for technical schools,,"ParseError: expected 50 labels, got 49: [""Trade & Industry"", ""Agriculture & Natural Resources"", ""Agriculture & Natural Resources"", ""Social Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Parliam"
parliamentary procedure and budget debate,,"ParseError: expected 50 labels, got 49: [""Trade & Industry"", ""Agriculture & Natural Resources"", ""Agriculture & Natural Resources"", ""Social Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Parliam"
media coverage of political parties,,"ParseError: expected 50 labels, got 49: [""Trade & Industry"", ""Agriculture & Natural Resources"", ""Agriculture & Natural Resources"", ""Social Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Parliam"
opposition to government confidence,,"ParseError: expected 50 labels, got 49: [""Trade & Industry"", ""Agriculture & Natural Resources"", ""Agriculture & Natural Resources"", ""Social Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Parliam"
adjournment of the house,,"ParseError: expected 50 labels, got 49: [""Trade & Industry"", ""Agriculture & Natural Resources"", ""Agriculture & Natural Resources"", ""Social Policy"", ""Parliamentary Affairs"", ""Government Operations & Ethics"", ""Parliamentary Affairs"", ""Parliam"
