suffix,start_index,end_index_exclusive,n_requests,jsonl,job_file,status_file,results,output
part011,20000,22000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part011.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part011.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part011.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part011.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part011.csv
part012,22000,24000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part012.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part012.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part012.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part012.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part012.csv
part013,24000,26000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part013.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part013.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part013.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part013.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part013.csv
part014,26000,28000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part014.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part014.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part014.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part014.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part014.csv
part015,28000,30000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part015.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part015.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part015.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part015.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part015.csv
part016,30000,32000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part016.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part016.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part016.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part016.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part016.csv
part017,32000,34000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part017.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part017.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part017.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part017.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part017.csv
part018,34000,36000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part018.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part018.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part018.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part018.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part018.csv
part019,36000,38000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part019.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part019.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part019.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part019.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part019.csv
part020,38000,40000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part020.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part020.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part020.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part020.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part020.csv
part021,40000,42000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part021.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part021.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part021.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part021.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part021.csv
part022,42000,44000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part022.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part022.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part022.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part022.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part022.csv
part023,44000,46000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part023.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part023.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part023.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part023.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part023.csv
part024,46000,48000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part024.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part024.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part024.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part024.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part024.csv
part025,48000,50000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part025.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part025.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part025.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part025.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part025.csv
part026,50000,52000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part026.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part026.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part026.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part026.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part026.csv
part027,52000,54000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part027.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part027.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part027.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part027.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part027.csv
part028,54000,56000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part028.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part028.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part028.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part028.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part028.csv
part029,56000,58000,2000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part029.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part029.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part029.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part029.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part029.csv
part030,58000,59862,1862,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_requests_topics_procedural_part030.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_job_topics_procedural_part030.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_status_topics_procedural_part030.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\batch_results_topics_procedural_part030.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_merged\batch_parts\speeches_topics_procedural_part030.csv
