topic,category
assessment of national economic conditions,Public Finance and Taxation
Canada's status in the International Labour Organization,Social Welfare and Labour
League of Nations voting rights,"Justice, Constitution, and Indigenous Affairs"
national eight-hour working day legislation,Social Welfare and Labour
sale of Charlottetown fish hatchery,Natural Resources and Intergovernmental Relations
letter carrier civil service reclassification,Government and Parliamentary Affairs
amendments to the Indian Act concerning enfranchisement and education,"Justice, Constitution, and Indigenous Affairs"
sale of Charlottetown fish hatchery assets,Natural Resources and Intergovernmental Relations
notification of parliamentary seat vacancies,Government and Parliamentary Affairs
ratification of the Treaty of Peace with Bulgaria,"Justice, Constitution, and Indigenous Affairs"
resignations of Geological Survey scientists,Government and Parliamentary Affairs
Canada's representation on the International Labour Organization governing body,Social Welfare and Labour
Canadian representation at international labour conferences,Social Welfare and Labour
transportation costs of Alberta coal,Transportation and Communications
Canada's financial contribution to the League of Nations,Public Finance and Taxation
Canada's eligibility for League of Nations council membership,"Justice, Constitution, and Indigenous Affairs"
Canadian Expeditionary Force recruitment statistics,Veterans' and Military Affairs
League of Nations Covenant principles,"Justice, Constitution, and Indigenous Affairs"
eight-hour workday legislative jurisdiction,Social Welfare and Labour
settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
united states representation at the international labour conference,Social Welfare and Labour
Canada's status at International Labour Conferences,Social Welfare and Labour
resignation of the newsprint controller,Government and Parliamentary Affairs
experimental illustration stations in Bonaventure county,Agriculture and Food Policy
Dominion Elections Act and electoral reform,Government and Parliamentary Affairs
Canada Shipping Act amendments for ship officers,Transportation and Communications
Royal Canadian Mounted Police salary and pensions,Government and Parliamentary Affairs
expenditures of the Canadian Mission in London,Public Finance and Taxation
international standardization of silver coinage fineness,Banking and Monetary Policy
unification of parliamentary administrative branches,Government and Parliamentary Affairs
remuneration of rural mail carriers,Transportation and Communications
adjournment of the debate,Government and Parliamentary Affairs
impact of an eight-hour workday on agricultural labour,Social Welfare and Labour
Imperial Press Conference arrangements,Government and Parliamentary Affairs
organizational structure of the League of Nations,International Trade and Tariffs
government annuities and savings bank interest rates,Banking and Monetary Policy
military expedition costs and conscription in Chicoutimi,Veterans' and Military Affairs
silver coinage and mint operations,Banking and Monetary Policy
adoption of nickel coinage,Banking and Monetary Policy
Canadian silver coinage and circulation,Banking and Monetary Policy
Charlevoix-Montmorency lighthouse keepers' wages and appointments,Transportation and Communications
introduction of nickel coinage,Banking and Monetary Policy
cabinet ministers' involvement in by-election,Government and Parliamentary Affairs
seating arrangements in the House of Commons,Government and Parliamentary Affairs
instability of the Borden ministry,Government and Parliamentary Affairs
investigation into the dismissal of James Conner,Government and Parliamentary Affairs
Canadian Expeditionary Force enlistment and pension statistics,Veterans' and Military Affairs
military detachment expenses and discipline statistics,Veterans' and Military Affairs
government annuities and state paternalism,Social Welfare and Labour
assignment of military instructors to educational institutions,Veterans' and Military Affairs
dismissal of James Conner from public service,Government and Parliamentary Affairs
transfer of Quebec city fortifications to Battlefields Commission,Natural Resources and Intergovernmental Relations
dismissal of immigration official James Conner,Government and Parliamentary Affairs
preservation of Quebec's ancient fortifications,Natural Resources and Intergovernmental Relations
pension act amendments for widowed mothers,Social Welfare and Labour
national eight-hour working day convention,Social Welfare and Labour
jurisdiction over labour conventions,Social Welfare and Labour
ratification of international labour conventions,Social Welfare and Labour
pension eligibility for widowed mothers of soldiers,Veterans' and Military Affairs
pensions for widowed mothers of soldiers,Veterans' and Military Affairs
distinctive war service badges for naval personnel,Veterans' and Military Affairs
design of naval service badges,Veterans' and Military Affairs
distribution of naval war badges,Veterans' and Military Affairs
distinctive naval service badges,Veterans' and Military Affairs
administration of the Pensions Act,Veterans' and Military Affairs
distribution of naval service badges,Veterans' and Military Affairs
pensions for widowed mothers,Social Welfare and Labour
administration of the Pension Act for widows,Veterans' and Military Affairs
civil service superannuation benefits,Government and Parliamentary Affairs
pension exemptions for widowed mothers,Social Welfare and Labour
war widows' pension regulations,Veterans' and Military Affairs
Canadian News Service staffing and expenses,Transportation and Communications
international labour convention on eight-hour workdays,Social Welfare and Labour
use of existing voters' lists for federal elections,Government and Parliamentary Affairs
uniformity of federal election franchise laws,Government and Parliamentary Affairs
polling station voter verification procedures,Government and Parliamentary Affairs
amendments to the Dominion Franchise Act,Government and Parliamentary Affairs
uniformity of federal electoral procedures,Government and Parliamentary Affairs
Dominion franchise act provisions,Government and Parliamentary Affairs
federal election voter list preparation,Government and Parliamentary Affairs
Nova Scotia provincial electoral lists,Government and Parliamentary Affairs
preparation of federal electoral lists,Government and Parliamentary Affairs
revision of federal electoral lists,Government and Parliamentary Affairs
Dominion Franchise Act voter registration in unorganized territories,Government and Parliamentary Affairs
use of provincial and municipal lists for federal franchise,Government and Parliamentary Affairs
voter registration requirements for rural districts,Government and Parliamentary Affairs
Dominion Franchise Act residential requirements,Government and Parliamentary Affairs
preparation of provincial electoral lists,Government and Parliamentary Affairs
voter enumeration in British Columbia rural districts,Government and Parliamentary Affairs
preparation of federal voters' lists,Government and Parliamentary Affairs
uniform federal franchise requirements,Government and Parliamentary Affairs
voter registration procedures for Dominion elections,Government and Parliamentary Affairs
investigation of steamship Metagama troop transport conditions,Veterans' and Military Affairs
voter list procedures in unorganized territories,Government and Parliamentary Affairs
voter registration procedures under the Dominion Elections Act,Government and Parliamentary Affairs
federal voters' list preparation and qualifications,Government and Parliamentary Affairs
federal and provincial voters list alignment,Government and Parliamentary Affairs
Dominion franchise legislation,Government and Parliamentary Affairs
electoral list registration procedures,Government and Parliamentary Affairs
federal election voter registration processes,Government and Parliamentary Affairs
voter registration for federal elections,Government and Parliamentary Affairs
voter registration procedures under the Dominion Franchise Act,Government and Parliamentary Affairs
federal electoral list preparation,Government and Parliamentary Affairs
absentee voting in rural districts,Government and Parliamentary Affairs
voter registration in rural constituencies,Government and Parliamentary Affairs
appointment of electoral enumerators,Government and Parliamentary Affairs
appointment of a Canadian minister at Washington,Government and Parliamentary Affairs
appointment of a canadian minister to washington,Government and Parliamentary Affairs
excise tax and luxury tax revisions,Public Finance and Taxation
appointment of a Canadian Minister Plenipotentiary,Government and Parliamentary Affairs
implementation of new federal sales and stamp taxes,Public Finance and Taxation
government subsidies and public spending estimates,Public Finance and Taxation
Canada's autonomous status within the British Empire,"Justice, Constitution, and Indigenous Affairs"
appointment of a Minister Plenipotentiary at Washington,Government and Parliamentary Affairs
government payments to the press,Public Finance and Taxation
1920 federal budget and government fiscal policy,Public Finance and Taxation
taxation on war wealth and consumer goods,Public Finance and Taxation
establishment of a Canadian diplomatic representative in Washington,Government and Parliamentary Affairs
government expenditure and accounting accuracy,Public Finance and Taxation
purchase and maintenance of Brant Military Hospital,Veterans' and Military Affairs
federal budget and protectionist trade policy,Public Finance and Taxation
parliamentary decorum and partisan rhetoric,Government and Parliamentary Affairs
appointment of a Canadian minister plenipotentiary,Government and Parliamentary Affairs
Fisheries Branch civil service salaries and qualifications,Government and Parliamentary Affairs
oleomargarine production and butter market protection,Agriculture and Food Policy
electoral integrity and franchise reform,Government and Parliamentary Affairs
appointment of responsible returning officers,Government and Parliamentary Affairs
Dominion Franchise Act electoral system reform,Government and Parliamentary Affairs
government influence on election results,Government and Parliamentary Affairs
Dominion Franchise Act electoral machinery,Government and Parliamentary Affairs
civil service patronage in the Dominion Franchise Act,Government and Parliamentary Affairs
Dominion Franchise Act provisions,Government and Parliamentary Affairs
appointment of federal election returning officers,Government and Parliamentary Affairs
disqualification of public aid recipients from voting,Government and Parliamentary Affairs
extension of oleomargarine regulations,Agriculture and Food Policy
Civil Service Commission appointments under Dominion Franchise Act,Government and Parliamentary Affairs
electoral reform and election fairness,Government and Parliamentary Affairs
voter registration form requirements,Government and Parliamentary Affairs
voting rights for residents of charitable institutions,Government and Parliamentary Affairs
Dominion Franchise Act and election integrity,Government and Parliamentary Affairs
proposed amendments to the Franchise Act,Government and Parliamentary Affairs
hospital patient voting eligibility,Government and Parliamentary Affairs
voting rights for asian-canadian veterans,Veterans' and Military Affairs
bilingual electoral proclamations in Ontario,Government and Parliamentary Affairs
disqualification of charitable institution residents from voting,Government and Parliamentary Affairs
voting eligibility under Dominion Franchise Act,Government and Parliamentary Affairs
voter disqualification for corrupt practices,Government and Parliamentary Affairs
voter eligibility of charitable institution residents,Government and Parliamentary Affairs
voter eligibility for hospital patients,Government and Parliamentary Affairs
voter disqualification of charitable institution inmates,Government and Parliamentary Affairs
eligibility of charitable patients for voting franchise,Government and Parliamentary Affairs
disqualification of voters in charitable institutions,Government and Parliamentary Affairs
provincial franchise rights for British Columbia Orientals,"Justice, Constitution, and Indigenous Affairs"
electoral franchise eligibility for incarcerated persons,Government and Parliamentary Affairs
hospital patient voter disqualification criteria,Government and Parliamentary Affairs
electoral law and burden of proof,Government and Parliamentary Affairs
franchise extension to orientals,"Justice, Constitution, and Indigenous Affairs"
voting rights for charitable institution inmates,Government and Parliamentary Affairs
enfranchisement of soldiers,Veterans' and Military Affairs
voting rights for hospital patients,Government and Parliamentary Affairs
disqualification of voters receiving charitable support,Government and Parliamentary Affairs
eligibility of relief recipients for the franchise,Government and Parliamentary Affairs
bilingual election materials and instructions,Government and Parliamentary Affairs
bilingualism in federal election ballots,Government and Parliamentary Affairs
Dominion Franchise Act amendment,Government and Parliamentary Affairs
federal voters' list designation for married women,Government and Parliamentary Affairs
disenfranchisement of disabled veteran pensioners,Veterans' and Military Affairs
electoral list enumeration and voter registration procedures,Government and Parliamentary Affairs
disqualification of charitable recipients from voting,Government and Parliamentary Affairs
French language rights in Manitoba,"Justice, Constitution, and Indigenous Affairs"
franchise rights for Oriental veterans,Veterans' and Military Affairs
postal franking privilege for Chief Electoral Officer,Government and Parliamentary Affairs
bilingual printing of election proclamations,Government and Parliamentary Affairs
translation of the Dominion Franchise Act,Government and Parliamentary Affairs
telephone usage for official government records,Government and Parliamentary Affairs
regulation of voter conveyance to polls,Government and Parliamentary Affairs
federal election communication procedures,Government and Parliamentary Affairs
oversight of chief electoral officer instructions,Government and Parliamentary Affairs
electoral act amendments,Government and Parliamentary Affairs
drafting of legal instructions for legislation,Government and Parliamentary Affairs
removal of ecclesiastical function terminology from legislation,Government and Parliamentary Affairs
bilingual election proclamations,Government and Parliamentary Affairs
parliamentary procedure regarding the appointment of officers,Government and Parliamentary Affairs
creation of the Chief Electoral Officer position,Government and Parliamentary Affairs
definition of ecclesiastic in election legislation,Government and Parliamentary Affairs
appointment of independent election counsel,Government and Parliamentary Affairs
penalties for election officer misconduct,Government and Parliamentary Affairs
preparation of electoral instructions,Government and Parliamentary Affairs
appointment of the Chief Electoral Officer,Government and Parliamentary Affairs
legal liability of returning officers,Government and Parliamentary Affairs
eligibility of crown officials for election,Government and Parliamentary Affairs
compulsory voting in federal elections,Government and Parliamentary Affairs
parliamentary committee membership rules,Government and Parliamentary Affairs
legal interpretation of the term person,"Justice, Constitution, and Indigenous Affairs"
electoral administration and proclamation procedures,Government and Parliamentary Affairs
definition of ecclesiastic for military exemption,Veterans' and Military Affairs
election proclamation publicity requirements,Government and Parliamentary Affairs
qualifications of a church chancellor as returning officer,Government and Parliamentary Affairs
interpretation of federal election law,Government and Parliamentary Affairs
legal interpretation of government instructions,Government and Parliamentary Affairs
candidate election deposit refunds,Government and Parliamentary Affairs
disqualification of provincial officers from federal voting,Government and Parliamentary Affairs
nomination venue selection in the Dominion Franchise Act,Government and Parliamentary Affairs
disqualification clauses in the Dominion Franchise Act,Government and Parliamentary Affairs
issuance of writ for East Elgin by-election,Government and Parliamentary Affairs
disqualification of government contractors from parliament,Government and Parliamentary Affairs
timing of federal bye-elections,Government and Parliamentary Affairs
simultaneous holding of by-elections,Government and Parliamentary Affairs
statutory recognition of the prime minister's office,Government and Parliamentary Affairs
ministerial salary for the Department of Health,Public Finance and Taxation
scheduling of simultaneous by-elections,Government and Parliamentary Affairs
disqualification of election candidates,Government and Parliamentary Affairs
administration of dominion elections,Government and Parliamentary Affairs
eligibility of crown prosecutors as election candidates,Government and Parliamentary Affairs
issuance of parliamentary election writs,Government and Parliamentary Affairs
electoral candidate deposit requirements,Government and Parliamentary Affairs
dual candidacy of provincial and federal representatives,Government and Parliamentary Affairs
federal election candidate deposit requirements,Government and Parliamentary Affairs
polling certificate regulations for election officials,Government and Parliamentary Affairs
increase in federal election candidate deposits,Government and Parliamentary Affairs
penalties for election fraud,Government and Parliamentary Affairs
issuance of election voting certificates,Government and Parliamentary Affairs
ballot marking requirements under Dominion Franchise Act,Government and Parliamentary Affairs
safety of Captain John A. Barron,Government and Parliamentary Affairs
demand for a general election and franchise reform,Government and Parliamentary Affairs
federal government programs for immigrant Canadianization,"Justice, Constitution, and Indigenous Affairs"
flooding of the river St. Peter,Natural Resources and Intergovernmental Relations
establishment of a federal department of education,Government and Parliamentary Affairs
Canadian railway car per diem rates,Transportation and Communications
St. Lawrence River ice jam flooding,Natural Resources and Intergovernmental Relations
cross-border freight car distribution,Transportation and Communications
Grand Trunk Railway financing,Transportation and Communications
national policy regarding immigrant populations,"Justice, Constitution, and Indigenous Affairs"
shortage of railway cars for grain transport,Transportation and Communications
Canadian National Railway line construction in Alberta,Transportation and Communications
shortage of Canadian railway freight cars,Transportation and Communications
treatment of alien immigrants,"Justice, Constitution, and Indigenous Affairs"
Canada Temperance Act legislation inquiries,"Justice, Constitution, and Indigenous Affairs"
railway car per diem charges,Transportation and Communications
shortage of canadian railway freight cars,Transportation and Communications
naturalization eligibility for German immigrants,"Justice, Constitution, and Indigenous Affairs"
outstanding government returns to parliament,Government and Parliamentary Affairs
allocation of railway freight cars,Transportation and Communications
loading of government ships with grain,Transportation and Communications
shortage of railway freight cars,Transportation and Communications
Canadian National Railways service complaints,Transportation and Communications
Grand Trunk Railway government financing agreement,Transportation and Communications
railway freight car shortages,Transportation and Communications
legal liability of Canadian National Railways,Transportation and Communications
St. Lawrence River icebreaking operations,Transportation and Communications
railway freight car shortage,Transportation and Communications
repatriation of Canadian railway cars,Transportation and Communications
Prince Edward Island railway gauge widening,Transportation and Communications
Canadian National Railways operating expenses and deficit,Transportation and Communications
Canadian Government Railways deficit funding,Transportation and Communications
railway maintenance and operational expenditure accounting,Transportation and Communications
government shipbuilding programme contracts,Transportation and Communications
public ownership of Canadian railways,Transportation and Communications
Canadian National Railway budget estimates,Transportation and Communications
railway freight rates and operational deficits,Transportation and Communications
railway extension in Alberta,Transportation and Communications
government shipbuilding contracts and public tendering,Transportation and Communications
Dominion Franchise Act and campaign finance disclosure,Government and Parliamentary Affairs
disparity in Canadian railway freight rates,Transportation and Communications
government shipbuilding contract tendering practices,Transportation and Communications
opposition to industrial subsidies,Public Finance and Taxation
government merchant shipping programme costs,Transportation and Communications
management of the Intercolonial Railway,Transportation and Communications
construction of railway passenger shelters,Transportation and Communications
government shipbuilding and privatization,Transportation and Communications
lack of railway station facilities in Joliette,Transportation and Communications
government merchant marine financial discrepancies,Transportation and Communications
canada-united states railway car exchange policy,Transportation and Communications
civil service bonus expenditures,Government and Parliamentary Affairs
customs tariff policy and budget estimates,International Trade and Tariffs
tabling of railway department reports,Transportation and Communications
civil service bonus appropriation,Government and Parliamentary Affairs
civil service bonus and rural mail carrier pay,Government and Parliamentary Affairs
parliamentary debate on supplementary estimates,Public Finance and Taxation
government experimental farm labour costs,Agriculture and Food Policy
withdrawal of commercial feeding stuffs bill,Agriculture and Food Policy
Grand Trunk railway board of management powers,Transportation and Communications
compensation for rural mail carriers,Transportation and Communications
Great Western Railway debenture stock ratification,Transportation and Communications
Grand Trunk Railway system acquisition agreement,Transportation and Communications
Grand Trunk Railway agreement ratification,Transportation and Communications
legal validation of government land titles,"Justice, Constitution, and Indigenous Affairs"
Grand Trunk railway management board functions,Transportation and Communications
Grand Trunk Railway shareholder voting rights,Transportation and Communications
Grand Trunk Railway pension obligations,Transportation and Communications
Grand Trunk Railway employees' pension rights,Transportation and Communications
Grand Trunk Railway legislation of 1911,Transportation and Communications
Grand Trunk Railway management borrowing powers,Transportation and Communications
Grand Trunk Railway debenture holders meeting,Transportation and Communications
Grand Trunk Railway property definition amendment,Transportation and Communications
National Transcontinental Railway mismanagement and costs,Transportation and Communications
Grand Trunk Railway reinstatement of employees,Transportation and Communications
Grand Trunk Railway acquisition financial disclosures,Transportation and Communications
Grand Trunk Railway acquisition and liabilities,Transportation and Communications
Grand Trunk Railway accounting practices,Transportation and Communications
Grand Trunk Railway acquisition terms,Transportation and Communications
Grand Trunk Railway stock acquisition,Transportation and Communications
Grand Trunk Railway arbitration and employee claims,Transportation and Communications
Grand Trunk Railway pension dispute,Transportation and Communications
amalgamation of Grand Trunk Pacific and Canadian National railways,Transportation and Communications
canadian government loans to Greece and Rumania,Public Finance and Taxation
reinstatement of Grand Trunk Railway strikers,Transportation and Communications
Grand Trunk Railway financial liabilities,Transportation and Communications
Grand Trunk Railway acquisition agreement amendment,Transportation and Communications
Grand Trunk Railway employee pension claims,Transportation and Communications
Grand Trunk Railway acquisition and accounting,Transportation and Communications
management of the Grand Trunk Pacific railway,Transportation and Communications
Canadian Pacific Railway business profits taxation,Public Finance and Taxation
management and operation of national railways,Transportation and Communications
Grand Trunk railway employee pension eligibility,Transportation and Communications
Grand Trunk Railway acquisition proceedings,Transportation and Communications
Grand Trunk Railway acquisition and financial liabilities,Transportation and Communications
amendments to the Food and Drugs Act,Agriculture and Food Policy
Grand Trunk Railway financial assistance and labour dispute,Transportation and Communications
statistics of canadian potato exports,International Trade and Tariffs
grain elevator weighing procedures,Agriculture and Food Policy
provincial jurisdiction over education,"Justice, Constitution, and Indigenous Affairs"
experimental farm system statistics,Agriculture and Food Policy
financial disclosure of Canadian National Railways,Transportation and Communications
loans for soldier settlement and housing,Agriculture and Food Policy
government accountability for railway deficits,Transportation and Communications
government railway management and accountability,Transportation and Communications
eligibility of non-overseas soldiers for land settlement,Agriculture and Food Policy
Soldier Settlement Act land availability,Agriculture and Food Policy
government railway operational expenditures,Transportation and Communications
Soldier Settlement Act amendments,Agriculture and Food Policy
government merchant marine administration,Transportation and Communications
Soldier Settlement Act eligibility criteria,Agriculture and Food Policy
parliamentary oversight of naval administration,Veterans' and Military Affairs
Soldier Settlement Act eligibility for veterans,Agriculture and Food Policy
Canadian National Railways management and oversight,Transportation and Communications
eligibility criteria for the Soldier Settlement Act,Agriculture and Food Policy
benefits for non-overseas veterans,Veterans' and Military Affairs
Soldier Settlement Act amendment and eligibility criteria,Agriculture and Food Policy
eligibility criteria for soldier settlement land grants,Agriculture and Food Policy
resignation of W. F. O'Connor from the Board of Commerce,Government and Parliamentary Affairs
parliamentary accountability of state-owned railway management,Transportation and Communications
Soldier Settlement Act administration and eligibility,Agriculture and Food Policy
Canadian National Railways management and accountability,Transportation and Communications
loans for veteran fishermen,Agriculture and Food Policy
Soldier Settlement Act amendment,Agriculture and Food Policy
ministerial oversight of railway management,Transportation and Communications
loans for returned soldier fishermen,Agriculture and Food Policy
financial assistance for returning veteran fishermen,Agriculture and Food Policy
extension of soldier settlement benefits to fishermen,Agriculture and Food Policy
repayment terms for soldier settlement livestock loans,Agriculture and Food Policy
Soldier Settlement Act security requirements,Agriculture and Food Policy
government loan assistance for soldier-fishermen,Agriculture and Food Policy
Soldier Settlement Act land valuation and ownership,Agriculture and Food Policy
Soldier Settlement Act land improvement amendments,Agriculture and Food Policy
financial assistance for fishermen,Agriculture and Food Policy
livestock branding and property transfer regulations,Agriculture and Food Policy
amendments to the Soldier Settlement Act terms,Agriculture and Food Policy
treatment of livestock under soldier settlement agreements,Agriculture and Food Policy
repayment terms for soldier settlement loans,Agriculture and Food Policy
soldier settlement loan security requirements,Agriculture and Food Policy
registration of livestock brands,Agriculture and Food Policy
registration of Soldier Settlement Board brand,Agriculture and Food Policy
registration of cattle brands,Agriculture and Food Policy
Soldier Settlement Act amendment regulations,Agriculture and Food Policy
livestock branding requirements for soldier settlers,Agriculture and Food Policy
Soldier Settlement Act property payment procedures,Agriculture and Food Policy
excessive inland water freight rates,Transportation and Communications
penalties for drug law violations,"Justice, Constitution, and Indigenous Affairs"
Soldier Settlement Act administrative expenses,Agriculture and Food Policy
regulation of Great Lakes freight rates,Transportation and Communications
Canada Steamship Lines assets and shipping rates,Transportation and Communications
increased penalties for narcotic drug smuggling,"Justice, Constitution, and Indigenous Affairs"
prairie provinces grasshopper infestation management,Agriculture and Food Policy
