topic,category,error
ARDA farm problems survey in Saguenay-Lake St. John,Agriculture & Natural Resources,
ARDA fund administration and advisory board,Agriculture & Natural Resources,
ARDA funding allocation and provincial use,Government Operations & Ethics,
ARDA funding for agriculture,Agriculture & Natural Resources,
ARDA funding for drainage projects in Quebec,Agriculture & Natural Resources,
ARDA funding for underdeveloped areas,Agriculture & Natural Resources,
ARDA funds for Becancour steel complex,Trade & Industry,
ARDA funds for Newfoundland and Labrador fishing facilities,Agriculture & Natural Resources,
ARDA grants for drainage in Ontario,Agriculture & Natural Resources,
ARDA grants to western provinces,Agriculture & Natural Resources,
ARDA items referred to agriculture committee,Agriculture & Natural Resources,
ARDA land acquisition for Nova Scotia parks,Agriculture & Natural Resources,
ARDA legislation and land renovation,Agriculture & Natural Resources,
ARDA legislation and local participation,Agriculture & Natural Resources,
ARDA long term development and recreation,Agriculture & Natural Resources,
ARDA money for farmers,Agriculture & Natural Resources,
ARDA name change,Agriculture & Natural Resources,
ARDA plan for fishermen and farmers,Agriculture & Natural Resources,
ARDA program administration,Government Operations & Ethics,
ARDA program administration and provincial use,Government Operations & Ethics,
ARDA program and Ontario Department of Agriculture inaction,Agriculture & Natural Resources,
ARDA program and cost of living,Agriculture & Natural Resources,
ARDA program and farm land values,Agriculture & Natural Resources,
ARDA program and resource programs,Agriculture & Natural Resources,
ARDA program and rural development,Agriculture & Natural Resources,
ARDA program and rural development estimates,Agriculture & Natural Resources,
ARDA program and rural poverty,Agriculture & Natural Resources,
ARDA program applicability,Government Operations & Ethics,
ARDA program economic benefits,Agriculture & Natural Resources,
ARDA program enthusiasm and disappointment,Agriculture & Natural Resources,
ARDA program expenditures in Prince Edward Island,Agriculture & Natural Resources,
ARDA program federal contributions in Alberta and Manitoba,Agriculture & Natural Resources,
ARDA program for depressed agricultural areas,Government Operations & Ethics,
ARDA program for semi-arid land grass growth,Agriculture & Natural Resources,
ARDA program funding and benefits,Agriculture & Natural Resources,
ARDA program grants to provinces,Agriculture & Natural Resources,
ARDA program in lower St. Lawrence,Agriculture & Natural Resources,
ARDA programs and federal funding in Quebec,Agriculture & Natural Resources,
ARDA programs for Yukon and Northwest Territories,Economic & Fiscal Policy,
ARDA programs funding and implementation,Economic & Fiscal Policy,
ARDA programs in Quebec,Agriculture & Natural Resources,
ARDA projects and agricultural grants,Agriculture & Natural Resources,
ARDA projects and drought relief in Ontario,Agriculture & Natural Resources,
ARDA projects and studies,Agriculture & Natural Resources,
ARDA projects by province,Agriculture & Natural Resources,
ARDA projects in Saskatchewan,Agriculture & Natural Resources,
ARDA range improvement and cattle production,Agriculture & Natural Resources,
ARDA regulations and federal-provincial relations,Intergovernmental & Constitutional Affairs,
ARDA results in Quebec,Agriculture & Natural Resources,
ARDA rural development and farmland use,Agriculture & Natural Resources,
ARDA rural development funding,Agriculture & Natural Resources,
ARDA rural development projects,Agriculture & Natural Resources,
ARDA rural development projects in Roberval,Agriculture & Natural Resources,
ARDA rural redevelopment and blueberry patches,Agriculture & Natural Resources,
ARDA socio-economic survey in rural areas,Social Policy,
ARDA spending and administration,Agriculture & Natural Resources,
ARDA spending and rural development in Ontario,Agriculture & Natural Resources,
ARDA survey in Saguenay-Lake St. John,Agriculture & Natural Resources,
ARDSA program drought relief for agriculture,Agriculture & Natural Resources,
ARMX '89 exhibition purpose,Trade & Industry,
ARMX defence goods showcase,Trade & Industry,
ARMX simulation and training equipment,Foreign Affairs & Defence,
ARMX trade show participation,Trade & Industry,
ASA use in children and Reye's Syndrome,Social Policy,
ASEA acquisition of Harland Systems conditions,Trade & Industry,
AWACS use of Canadian air bases,Foreign Affairs & Defence,
Abella Commission report release date,"Justice, Rights & Immigration",
Abella report and Equality Now! recommendations,"Justice, Rights & Immigration",
Abitibi-Price operations and worker layoffs,Trade & Industry,
Acadian and Francophone community relations,Intergovernmental & Constitutional Affairs,
Acadian concerns about Quebec's role in Confederation,Intergovernmental & Constitutional Affairs,
Acadian history exhibit development,Social Policy,
Acadian progress and political arrangements in New Brunswick,Intergovernmental & Constitutional Affairs,
Acadian province and western separatism,Intergovernmental & Constitutional Affairs,
Acklands Limited takeover bid,Trade & Industry,
"Acting Minister of Industry, Trade and Commerce",Trade & Industry,
Acting Prime Minister's statement on government policy,Government Operations & Ethics,
Address in reply to Speech from the Throne,Parliamentary Affairs,
Adjustment of Accounts Act,Parliamentary Affairs,
Administration of National Museums professional advice,Government Operations & Ethics,
Administrator as shipper and Canadian Wheat Board,Agriculture & Natural Resources,
Adult Occupational Training Act,Social Policy,
Adult Occupational Training Act and job opportunities,Social Policy,
Adult Occupational Training Program,Social Policy,
Adult Training Program budgets and courses,Social Policy,
Adventures in Citizenship,Government Operations & Ethics,
Advisory Committee on Design meetings and recommendations,Government Operations & Ethics,
Advisory Committee on Microinformatics,Trade & Industry,
Advisory Committee on Nuclear Safety appointments,Government Operations & Ethics,
Advisory Council on Status of Women recommendations,Social Policy,
Advisory Council on the Status of Women,Social Policy,
Advisory Industrial Board (AIB) operations and backlog,Economic & Fiscal Policy,
Aeroflot flights at Gander airport,Foreign Affairs & Defence,
Aeronautics Act committee meeting,Parliamentary Affairs,
Aeronautics Act fees and regulations,Government Operations & Ethics,
Affirmative Action Outreach funding for women,Social Policy,
Affirmative Action Programs and gender pay equity,Social Policy,
Africa 2000 program,Foreign Affairs & Defence,
Africa 2000 program and development agencies,Foreign Affairs & Defence,
Africa 2000 program and women in development,Foreign Affairs & Defence,
African Crisis fund matching system,Foreign Affairs & Defence,
African Development Bank II loan details,Foreign Affairs & Defence,
African Development Bank loan approvals by country,Foreign Affairs & Defence,
African Development Bank loan details,Foreign Affairs & Defence,
African Development Bank loans and operations,Foreign Affairs & Defence,
African countries' vote on objectionable resolution,Foreign Affairs & Defence,
African country trade statistics,Foreign Affairs & Defence,
African economic pressures and debt,Economic & Fiscal Policy,
African graduates immigration to Africa,"Justice, Rights & Immigration",
African nations action against Rhodesia,Foreign Affairs & Defence,
African representatives at United Nations,Foreign Affairs & Defence,
Agence de Cooperation culturelle et technique anniversary,Foreign Affairs & Defence,
Agent Orange spraying at Gagetown,Agriculture & Natural Resources,
Agnes MacPhail and rural Canadians,Social Policy,
Agnes MacPhail's advocacy for rural Canada and prison reform,Social Policy,
Agnes MacPhail's legacy and women in the House,Parliamentary Affairs,
Agnes MacPhail's parliamentary contribution,Parliamentary Affairs,
Agnes MacPhail's parliamentary struggles,Parliamentary Affairs,
"Agnes MacPhail, prison reform, equal pay",Social Policy,
Agribond Program and tax changes for farmers,Economic & Fiscal Policy,
Agricultural Experimental Farm closure and forestry unit creation,Agriculture & Natural Resources,
Agricultural Products Board feed grain sales,Agriculture & Natural Resources,
Agricultural Products Marketing Board surplus crop purchases,Agriculture & Natural Resources,
Agricultural Stabilization Act,Agriculture & Natural Resources,
Agricultural Stabilization Act amendment,Agriculture & Natural Resources,
Agricultural Stabilization Act amendments,Agriculture & Natural Resources,
Agricultural Stabilization Act commitment,Agriculture & Natural Resources,
Agricultural and Rural Development Act,Agriculture & Natural Resources,
Agriculture Canada research facilities and farm loans,Agriculture & Natural Resources,
Agriculture Canada's obligation for meat inspection,Agriculture & Natural Resources,
Agriculture Committee travel for farmer input,Agriculture & Natural Resources,
Air B.C. regulations and penalties,Trade & Industry,
Air Canada 50th anniversary stamp,Government Operations & Ethics,
Air Canada Atlantic provinces service reduction,Trade & Industry,
Air Canada B-727 replacements and Bristol Aerospace,Trade & Industry,
Air Canada Boeing 727 aircraft orders and costs,Trade & Industry,
Air Canada DC-8-43 training and maintenance,Trade & Industry,
Air Canada Gimli Glider crash probe cost,Government Operations & Ethics,
Air Canada JP4 fuel efficiency,Trade & Industry,
Air Canada L-1011 jet parts manufacturing,Trade & Industry,
Air Canada Official Languages Act interpretation,Government Operations & Ethics,
Air Canada PWA merger proposal,Trade & Industry,
Air Canada Sun Living package tours loss,Trade & Industry,
Air Canada accountability and board of directors,Government Operations & Ethics,
Air Canada accounting methods disclosure,Government Operations & Ethics,
Air Canada accounting service division backlog,Trade & Industry,
Air Canada acquisition of Nordair shares,Trade & Industry,
Air Canada administrative building consolidation,Government Operations & Ethics,
Air Canada agreements with Cuba,Trade & Industry,
Air Canada air freight policy for livestock,Agriculture & Natural Resources,
Air Canada air freight policy for livestock transport,Agriculture & Natural Resources,
Air Canada aircraft engines,Trade & Industry,
Air Canada aircraft fleet recommendations,Trade & Industry,
Air Canada aircraft grooming standards,Trade & Industry,
Air Canada aircraft maintenance in Winnipeg,Trade & Industry,
Air Canada aircraft procurement and industrial benefits,Trade & Industry,
Air Canada aircraft purchase and Canadian content,Trade & Industry,
Air Canada aircraft purchase decision,Government Operations & Ethics,
Air Canada aircraft rental to Liberal Party,Government Operations & Ethics,
Air Canada aircraft safety incidents,Trade & Industry,
Air Canada and CBC funding,Government Operations & Ethics,
Air Canada and CN service failures,Trade & Industry,
Air Canada and CNR financial performance,Trade & Industry,
Air Canada and CP Air operations,Trade & Industry,
Air Canada and CP Air route reassignment,Trade & Industry,
Air Canada and CTC passenger service,Trade & Industry,
Air Canada and Canadian Airlines financial problems,Trade & Industry,
Air Canada and Canadian Pacific airline routes,Trade & Industry,
Air Canada and Crown corporations,Government Operations & Ethics,
Air Canada and Department of Transport recommendations,Government Operations & Ethics,
Air Canada and EPA route negotiations,Trade & Industry,
Air Canada and Petro-Canada privatization policy,Government Operations & Ethics,
Air Canada and de Havilland financial losses,Trade & Industry,
Air Canada and provincial airline ownership,Trade & Industry,
Air Canada as a Crown corporation,Government Operations & Ethics,
Air Canada at Heathrow,Trade & Industry,
Air Canada attention to member's question,Government Operations & Ethics,
Air Canada audit and Cooper and Lybrand report,Government Operations & Ethics,
Air Canada auditor and payment,Government Operations & Ethics,
Air Canada authorized capital and profitability,Trade & Industry,
Air Canada authorized capital level,Trade & Industry,
Air Canada base location,Trade & Industry,
Air Canada beef quality and sourcing,Agriculture & Natural Resources,
Air Canada bilingual services,Trade & Industry,
Air Canada bilingualism and employee advancement,Trade & Industry,
Air Canada bilingualism clause,Social Policy,
Air Canada bilingualism costs,Trade & Industry,
Air Canada bilingualism in Quebec,Government Operations & Ethics,
Air Canada billing and reporting practices,Government Operations & Ethics,
Air Canada billing dispute,Government Operations & Ethics,
Air Canada billings and commission over-ride charges,Trade & Industry,
Air Canada budget review by House committee,Government Operations & Ethics,
Air Canada building leases and space,Government Operations & Ethics,
Air Canada capital and stock saleability,Trade & Industry,
Air Canada capital authorization,Trade & Industry,
Air Canada capitalisation amendment,Trade & Industry,
Air Canada capitalisation and share transferability,Trade & Industry,
Air Canada capitalisation and share value,Trade & Industry,
Air Canada capitalisation and subsidy,Trade & Industry,
Air Canada cargo policy for Orient destinations,Trade & Industry,
Air Canada cargo transshipment to Japan,Trade & Industry,
Air Canada chairman conflict of interest,Government Operations & Ethics,
Air Canada chairman investigation,Government Operations & Ethics,
Air Canada commercial transaction with Cuba,Trade & Industry,
Air Canada committee meeting scheduling,Parliamentary Affairs,
Air Canada competition with regional carriers,Trade & Industry,
Air Canada complaint handling,Government Operations & Ethics,
Air Canada compliance with law,Government Operations & Ethics,
Air Canada contingency plan for Quebec independence,Intergovernmental & Constitutional Affairs,
Air Canada continuance and share issuance,Trade & Industry,
Air Canada contracts with Sunset Crest Ltd,Government Operations & Ethics,
Air Canada customs clearance at Toronto airport,Trade & Industry,
Air Canada debate and Meech Lake Accord,Intergovernmental & Constitutional Affairs,
Air Canada debt/equity ratio and productivity,Trade & Industry,
Air Canada decision-making criteria,Government Operations & Ethics,
Air Canada deficit and seat sale,Government Operations & Ethics,
Air Canada deficit and service,Trade & Industry,
Air Canada directors' performance,Trade & Industry,
Air Canada directors' powers and capitalisation,Trade & Industry,
Air Canada disciplinary hearing tapes,Parliamentary Affairs,
Air Canada discipline of Captain Robert Pearson,Government Operations & Ethics,
Air Canada dispute and ministerial intervention,Trade & Industry,
Air Canada domestic fares structure formula,Trade & Industry,
Air Canada employee benefits and equity,Social Policy,
Air Canada employee due process,"Justice, Rights & Immigration",
Air Canada employee freedom of speech,Government Operations & Ethics,
Air Canada employee lay-offs and grievance procedure,Trade & Industry,
Air Canada employee negotiations,Trade & Industry,
Air Canada employee reclassification,Trade & Industry,
Air Canada employee reinstatement,Parliamentary Affairs,
Air Canada employee relations,Trade & Industry,
Air Canada employee salaries during strike,Economic & Fiscal Policy,
Air Canada employee suspension,Government Operations & Ethics,
Air Canada employee transfers from Quebec,Trade & Industry,
Air Canada employee transfers in Quebec,Trade & Industry,
Air Canada employee walkout,Trade & Industry,
Air Canada employees dispute,Trade & Industry,
Air Canada employees legal fees,Social Policy,
Air Canada employees retroactive salary increase,Trade & Industry,
Air Canada employment and salaries,Government Operations & Ethics,
Air Canada employment and taxation comparison,Trade & Industry,
Air Canada employment assurances,Trade & Industry,
Air Canada employment negotiations,Trade & Industry,
Air Canada equity acquisitions,Trade & Industry,
Air Canada executive appointments and tenure,Government Operations & Ethics,
Air Canada executive compensation,Government Operations & Ethics,
Air Canada executive directors,Government Operations & Ethics,
Air Canada executive management by length of service,Government Operations & Ethics,
Air Canada executive salaries and promotions,Government Operations & Ethics,
Air Canada expenditures,Economic & Fiscal Policy,
Air Canada expenses and private airline comparison,Trade & Industry,
Air Canada facilities and relocation,Trade & Industry,
Air Canada facilities decentralization to Winnipeg,Trade & Industry,
Air Canada finance branch employees dispute,Trade & Industry,
Air Canada finance branch in Winnipeg,Government Operations & Ethics,
Air Canada financial losses and recapitalization,Trade & Industry,
Air Canada financial problems and labour relations,Government Operations & Ethics,
Air Canada financial restructuring during negotiations,Trade & Industry,
Air Canada financial stability,Government Operations & Ethics,
Air Canada financing and C.N.R. bill,Economic & Fiscal Policy,
Air Canada financing and privatization,Trade & Industry,
Air Canada financing flexibility,Trade & Industry,
Air Canada fleet and incidents,Trade & Industry,
Air Canada fleet replacement,Trade & Industry,
Air Canada flight attendant suspension,Parliamentary Affairs,
Air Canada flight attendants contract,Trade & Industry,
Air Canada flight bookings and tourist season,Government Operations & Ethics,
Air Canada flight crew directive on hijacking,Foreign Affairs & Defence,
Air Canada flight delay,Trade & Industry,
Air Canada flight performance and billing,Trade & Industry,
Air Canada flights and accountability,Trade & Industry,
Air Canada flights between Saint John and Halifax,Trade & Industry,
Air Canada flights from Gander to St. John's,Trade & Industry,
Air Canada flights from St. John's,Trade & Industry,
Air Canada flights to Ottawa,Government Operations & Ethics,
Air Canada foreign ownership limit,Trade & Industry,
Air Canada freight rate assessment,Trade & Industry,
Air Canada fuel policy,Trade & Industry,
Air Canada funding and aircraft purchase,Trade & Industry,
Air Canada funding and rail services,Trade & Industry,
Air Canada ground services and air transportation policy,Trade & Industry,
Air Canada head office location and McGill College Avenue,Government Operations & Ethics,
Air Canada headquarters and maintenance bases,Trade & Industry,
Air Canada headquarters building tenders,Government Operations & Ethics,
Air Canada hiring of summer salesmen,Trade & Industry,
Air Canada hypothetical questions,Trade & Industry,
Air Canada inquiry and Sunset Crest Ltd. transactions,Government Operations & Ethics,
Air Canada investigation warning,Government Operations & Ethics,
Air Canada job losses and government policy,Trade & Industry,
Air Canada job security and wages,Trade & Industry,
Air Canada jumbo jet and Concorde orders,Trade & Industry,
Air Canada labour dispute,Trade & Industry,
Air Canada labour dispute intervention,Government Operations & Ethics,
Air Canada labour dispute report,Social Policy,
Air Canada landing rights and service,Government Operations & Ethics,
Air Canada layoffs and severance benefits,Social Policy,
Air Canada licences and labour dispute,Trade & Industry,
Air Canada livestock policy and international markets,Agriculture & Natural Resources,
Air Canada load factor and performance,Trade & Industry,
Air Canada losses and bilateral negotiations,Trade & Industry,
Air Canada machinists strike threat,Trade & Industry,
Air Canada magazine Newfoundland representation,Trade & Industry,
Air Canada maintenance and safety concerns,Government Operations & Ethics,
Air Canada maintenance base location,Trade & Industry,
Air Canada maintenance centre in Winnipeg,Trade & Industry,
Air Canada maintenance hangar at Winnipeg,Trade & Industry,
Air Canada majority control and minority shareholders,Trade & Industry,
Air Canada management and budgetary balance,Trade & Industry,
Air Canada management and collective agreements,Government Operations & Ethics,
Air Canada management and difficulties,Trade & Industry,
Air Canada management and finance branch dispute,Trade & Industry,
Air Canada management and operations,Government Operations & Ethics,
Air Canada management appointments and resignations,Government Operations & Ethics,
Air Canada management decisions,Trade & Industry,
Air Canada mandate and deregulation,Trade & Industry,
Air Canada mandate and profit,Trade & Industry,
Air Canada membership in International Air Transport Association,Trade & Industry,
Air Canada merger and western routes,Trade & Industry,
Air Canada name change bill,Government Operations & Ethics,
Air Canada name change cost,Trade & Industry,
Air Canada net debt fund ratio,Economic & Fiscal Policy,
Air Canada non-resident share ownership,Trade & Industry,
Air Canada non-smoking passenger comfort,Social Policy,
Air Canada operating personnel and scheduling,Trade & Industry,
Air Canada operations and competition,Trade & Industry,
Air Canada operations and union negotiations,Trade & Industry,
Air Canada opposition to Nordair short-haul routes,Trade & Industry,
Air Canada overhaul base in Winnipeg,Trade & Industry,
Air Canada overhaul base job creation,Trade & Industry,
Air Canada overhaul centre in Winnipeg,Trade & Industry,
Air Canada overreaction to information request,Government Operations & Ethics,
Air Canada overseas air fares discrepancy,Trade & Industry,
Air Canada passenger accommodation,Trade & Industry,
Air Canada passenger and cargo statistics,Trade & Industry,
Air Canada passenger treatment at airport,Trade & Industry,
Air Canada passes for spouses,Trade & Industry,
Air Canada passes for transport commission,Government Operations & Ethics,
Air Canada passes policy,Trade & Industry,
Air Canada performance and Conservative government policy,Trade & Industry,
Air Canada personnel slowdown and passenger safety,Government Operations & Ethics,
