topic,category,error
Air Canada finance branch inquiry,Government Operations & Ethics,
Air Canada finance branch investigation,Government Operations & Ethics,
Air Canada financial division restructuring,Government Operations & Ethics,
Air Canada financial losses and recapitalization,Trade & Industry,
Air Canada financial performance and productivity,Trade & Industry,
Air Canada financial situation and management,Trade & Industry,
Air Canada financing and Air Canada operations,Government Operations & Ethics,
Air Canada financing flexibility,Trade & Industry,
Air Canada flight attendant contract,Trade & Industry,
Air Canada flight attendant disciplinary hearing,Parliamentary Affairs,
Air Canada flight attendant suspension,Trade & Industry,
Air Canada flight crew directive on hijacking,"Justice, Rights & Immigration",
Air Canada flight delay,Government Operations & Ethics,
Air Canada flights between Saint John and Halifax,Trade & Industry,
Air Canada flights from Gander to St. John's,Trade & Industry,
Air Canada freight charges and policies,Trade & Industry,
Air Canada freight rate assessment,Trade & Industry,
Air Canada funding and aircraft purchase,Economic & Fiscal Policy,
Air Canada head office location and Michael Pitfield,Government Operations & Ethics,
Air Canada headquarters and maintenance base,Trade & Industry,
Air Canada headquarters building contract,Government Operations & Ethics,
Air Canada hypothetical policy,Trade & Industry,
Air Canada international routes,Trade & Industry,
Air Canada investigation after Estey report,Government Operations & Ethics,
Air Canada jet fuel imports,Trade & Industry,
Air Canada job losses and future,Trade & Industry,
Air Canada job security and wages,Trade & Industry,
Air Canada labour dispute,Trade & Industry,
Air Canada labour dispute intervention,Parliamentary Affairs,
Air Canada labour dispute report,Trade & Industry,
Air Canada layoffs and severance benefits,Social Policy,
Air Canada leases of DC-8 aircraft,Trade & Industry,
Air Canada livestock and beef transport policy,Agriculture & Natural Resources,
Air Canada losses and bilateral negotiations,Trade & Industry,
Air Canada machinists strike action,Trade & Industry,
Air Canada mail transport costs,Trade & Industry,
Air Canada maintenance base in Winnipeg,Trade & Industry,
Air Canada maintenance base location,Trade & Industry,
Air Canada maintenance centre in Winnipeg,Trade & Industry,
Air Canada management and collective agreements,Government Operations & Ethics,
Air Canada management and member intervention,Government Operations & Ethics,
Air Canada management and operations,Trade & Industry,
Air Canada management decisions,Trade & Industry,
Air Canada membership in IATA,Trade & Industry,
Air Canada no-show passengers,Trade & Industry,
Air Canada non-resident share ownership,Trade & Industry,
Air Canada non-smoking passenger comfort,Social Policy,
Air Canada overhaul base election promises,Trade & Industry,
Air Canada overhaul base in Winnipeg,Trade & Industry,
Air Canada overhaul centre in Winnipeg,Trade & Industry,
Air Canada overseas air fares discrepancy,Trade & Industry,
Air Canada passenger accommodation,Trade & Industry,
Air Canada passenger and cargo statistics,Trade & Industry,
Air Canada passes for spouses,Government Operations & Ethics,
Air Canada passes policy,Government Operations & Ethics,
Air Canada personnel slowdown,Trade & Industry,
Air Canada pilot discipline for Gimli landing,Trade & Industry,
Air Canada pilot flying hours,Trade & Industry,
Air Canada pilot fuel decisions,Trade & Industry,
Air Canada plane safety at Dubin inquiry,Government Operations & Ethics,
Air Canada pre-eminence,Trade & Industry,
Air Canada president appointment,Government Operations & Ethics,
Air Canada president appointment and patronage,Government Operations & Ethics,
Air Canada president's availability for committee,Parliamentary Affairs,
Air Canada president's duties,Government Operations & Ethics,
Air Canada privatization,Trade & Industry,
Air Canada privatization and debate time allocation,Parliamentary Affairs,
Air Canada privatization and profitability,Trade & Industry,
Air Canada privatization and share ownership,Trade & Industry,
Air Canada privatization and voting control,Trade & Industry,
Air Canada profit mandate vs. service to communities,Trade & Industry,
Air Canada profitability and capital investment,Trade & Industry,
Air Canada profitability and routes,Trade & Industry,
Air Canada rapid air service improvements,Trade & Industry,
Air Canada reservation telephone service,Government Operations & Ethics,
Air Canada reservations policy,Trade & Industry,
Air Canada route allocation and scheduling,Trade & Industry,
Air Canada route transfers and Yarmouth airport,Trade & Industry,
Air Canada routes and labour dispute,Trade & Industry,
Air Canada sale and deficit reduction,Economic & Fiscal Policy,
Air Canada sale and public service obligations,Trade & Industry,
Air Canada seat sale exclusion of Saskatchewan,Trade & Industry,
Air Canada senior management appointments,Government Operations & Ethics,
Air Canada service and maintenance standards,Trade & Industry,
Air Canada service and ministerial power,Government Operations & Ethics,
Air Canada service between Halifax and Bermuda,Trade & Industry,
Air Canada service levels to Edmonton,Trade & Industry,
Air Canada service to Charlottetown,Trade & Industry,
Air Canada service to Newfoundland,Trade & Industry,
Air Canada service to Saguenay,Trade & Industry,
Air Canada service to Stephenville,Trade & Industry,
Air Canada service to smaller communities,Trade & Industry,
Air Canada services and RCMP officers in western Canada,Government Operations & Ethics,
Air Canada servicing of airport expansion,Trade & Industry,
Air Canada share capital and privatization,Trade & Industry,
Air Canada share purchases,Trade & Industry,
Air Canada share transfer,Trade & Industry,
Air Canada shares transfer,Trade & Industry,
Air Canada short haul routes,Trade & Industry,
Air Canada starting salaries and part-time work,Social Policy,
Air Canada stewardess hiring discrimination,Social Policy,
Air Canada stewardess language requirements,Trade & Industry,
Air Canada strike alternative transportation,Trade & Industry,
Air Canada strike and CPA services,Trade & Industry,
Air Canada strike and shutdown,Trade & Industry,
Air Canada strike conciliation board,Trade & Industry,
Air Canada strike contingency plans,Trade & Industry,
Air Canada strike mediation,Trade & Industry,
Air Canada strike prosecution request,Parliamentary Affairs,
Air Canada strike settlement,Trade & Industry,
Air Canada summer hiring of salesmen,Trade & Industry,
Air Canada supersonic aircraft purchase,Trade & Industry,
Air Canada takeover and job losses,Trade & Industry,
Air Canada takeover of Nordair,Trade & Industry,
Air Canada toll-free numbers for Nova Scotia,Trade & Industry,
Air Canada trans-Atlantic and domestic fares,Trade & Industry,
Air Canada transatlantic flights from Gander,Trade & Industry,
Air Canada voluntary measures and IATA regulations,Trade & Industry,
Air Canada's attention,Trade & Industry,
Air Canada's business principles vs public service,Trade & Industry,
"Air Canada, Petro-Canada, Radiochemical Company review",Government Operations & Ethics,
Air Command Headquarters study,Government Operations & Ethics,
Air Gaspe accident investigation and ministry response,Government Operations & Ethics,
Air Gaspe aircraft accident investigation,Trade & Industry,
Air India plane incident,Foreign Affairs & Defence,
Air India security measures,Foreign Affairs & Defence,
Air India security measures at Toronto airport,Government Operations & Ethics,
Air Safety Board and western rail initiative,Government Operations & Ethics,
Air-India Flight 182 bombing investigation,"Justice, Rights & Immigration",
Air-India Flight 182 disaster and terrorism,"Justice, Rights & Immigration",
Air-India crash criminal investigation status,"Justice, Rights & Immigration",
Air-India flight 182 investigation,"Justice, Rights & Immigration",
Air-India flight security measures,Foreign Affairs & Defence,
Air-India security deployment,Foreign Affairs & Defence,
Airbus A-320 manufacturing plant subsidy,Trade & Industry,
Airport Transfer Act and northern transportation,Agriculture & Natural Resources,
Aishak and Strutt Lake projects cost over-runs,Trade & Industry,
Aiyansh flood expenditures,Social Policy,
Akaitcho Hall regulations inquiry,Indigenous & Northern Affairs,
Akaitcho Hall residents' rules,Indigenous & Northern Affairs,
Akwesasne reserve and Mercier Bridge incidents,Indigenous & Northern Affairs,
Al-Mashat admission to Canada,"Justice, Rights & Immigration",
Al-Mashat affair and parliamentary tactics,Government Operations & Ethics,
Al-Mashat affair ministerial responsibility,Government Operations & Ethics,
Al-Mashat case and ethical conduct,Government Operations & Ethics,
Al-Mashat case intelligence versions,Government Operations & Ethics,
Al-Mashat inquiry committee proceedings,Parliamentary Affairs,
Alameda and Rafferty Dams construction,Agriculture & Natural Resources,
Alameda dam environmental review,Agriculture & Natural Resources,
Alaska Highway Pipeline specifications,Agriculture & Natural Resources,
Alaska Highway gas pipeline jobs,Agriculture & Natural Resources,
Alaska Highway gas pipeline pipe size,Agriculture & Natural Resources,
Alaska Highway pipeline commitment,Trade & Industry,
Alaska Highway pipeline financing guarantees,Agriculture & Natural Resources,
Alaska Panhandle access study,Trade & Industry,
Alaska gas pipeline agreement with British Columbia,Agriculture & Natural Resources,
Alaska gas pipeline and government secrecy,Government Operations & Ethics,
Alaska gas pipeline financing guarantees,Agriculture & Natural Resources,
Alaska gas pipeline pre-build,Agriculture & Natural Resources,
Alaska gas pipeline project delay,Trade & Industry,
Alaska highway and Maritime Provinces route discussions,Trade & Industry,
Alaska highway and Yukon corridor consultations,Intergovernmental & Constitutional Affairs,
Alaska highway gas pipeline financing,Agriculture & Natural Resources,
Alaska highway improvements and western Canada,Intergovernmental & Constitutional Affairs,
Alaska highway reconstruction cost sharing,Intergovernmental & Constitutional Affairs,
Alaska natural gas pipeline and export tax,Agriculture & Natural Resources,
Alaska natural gas pipeline prebuilding,Trade & Industry,
Alaska oil pipeline construction schedule,Agriculture & Natural Resources,
Alaska oil spill response,Agriculture & Natural Resources,
Alaska pipeline and pollution,Agriculture & Natural Resources,
Alaska pipeline commitments,Agriculture & Natural Resources,
Alaska pipeline to United States government,Trade & Industry,
Alaska-Yukon highway development and western farming,Trade & Industry,
Alaskan oil and gas transport to US,Agriculture & Natural Resources,
Alaskan oil in Puget Sound,Agriculture & Natural Resources,
Alaskan petroleum transport through Canada,Agriculture & Natural Resources,
Alberni Athletics basketball championship,Social Policy,
Alberta Energy Conservation Board discussion,Agriculture & Natural Resources,
Alberta Senate reform election,Intergovernmental & Constitutional Affairs,
Alberta ban on French in legislature,Intergovernmental & Constitutional Affairs,
Alberta crude petroleum export quotas,Agriculture & Natural Resources,
Alberta gas exports to United States,Trade & Industry,
Alberta gas reserves and eastern consumers,Agriculture & Natural Resources,
Alberta gasoline tax and oil flow,Economic & Fiscal Policy,
Alberta industrial development and government policy,Trade & Industry,
Alberta meat exports to US,Trade & Industry,
Alberta oil and gas leases,Agriculture & Natural Resources,
Alberta oil crisis and OPEC relations,Economic & Fiscal Policy,
Alberta oil industry and Tory representation,Economic & Fiscal Policy,
Alberta oil policy and provincial control,Agriculture & Natural Resources,
Alberta oil sands development,Agriculture & Natural Resources,
Alberta oil sands plant construction,Agriculture & Natural Resources,
Alberta petroleum and gas resource history,Agriculture & Natural Resources,
Alberta premier and energy uncertainties,Agriculture & Natural Resources,
Alberta premier's wire to Prime Minister,Intergovernmental & Constitutional Affairs,
Alberta pricing schedule for oil,Agriculture & Natural Resources,
Alberta producers and US trade decision,Trade & Industry,
Alberta railway construction and operation,Trade & Industry,
Alberta response on mineral exports,Trade & Industry,
Alberta royalties and provincial taxes,Economic & Fiscal Policy,
Alberta senators and federal government commitment,Intergovernmental & Constitutional Affairs,
Alberta's political theories and representation,Intergovernmental & Constitutional Affairs,
Alcan Pipeline negotiations and construction,Agriculture & Natural Resources,
Alcan fluorspar mine closure and fish plant financing,Trade & Industry,
Alcan pipeline construction conditions,Agriculture & Natural Resources,
Alcan pipeline pipe specifications,Trade & Industry,
Alcan pipeline social and environmental impact,Agriculture & Natural Resources,
Alcan pipeline socio-economic impact,Trade & Industry,
Alcan pipeline steel pipe purchase commitment,Trade & Industry,
Alcan shutdown and government intervention,Trade & Industry,
Alexbow experiment cargo,Trade & Industry,
Algerian immigrants for farming,"Justice, Rights & Immigration",
Algoma Central Railway name change and finances,Trade & Industry,
Algoma Steel appeal and import levy,Trade & Industry,
Algoma Steel employee buyout tax incentives,Economic & Fiscal Policy,
Algoma Steel financial assistance and restructuring,Trade & Industry,
Algoma Steel lay-offs and Japanese steel imports,Trade & Industry,
Algoma Steel takeover clarification,Trade & Industry,
Algoma employee adjustment and pension programs,Social Policy,
Algoma steel allocations and anti-dumping duty,Trade & Industry,
Algonquin Radio Observatory funding,Government Operations & Ethics,
Algonquin land claims in Quebec,Indigenous & Northern Affairs,
Alice Arm tailings deposit regulations,Agriculture & Natural Resources,
Allan Cup victory for Thunder Bay Twins,Social Policy,
Allan Legere trial and manhunt costs,"Justice, Rights & Immigration",
Allan Report and motion ramifications,Parliamentary Affairs,
Allied Parking Services Limited management contract,Government Operations & Ethics,
Alsands and Cold Lake energy projects,Agriculture & Natural Resources,
Alsands and Cold Lake megaproject investment,Trade & Industry,
Alsands and Cold Lake projects commencement,Agriculture & Natural Resources,
Alsands and Imperial Oil pricing agreements,Agriculture & Natural Resources,
Alsands collapse and National Energy Program impact,Economic & Fiscal Policy,
Alsands project and Petrofina purchase,Trade & Industry,
Alsands project and megaprojects,Economic & Fiscal Policy,
Alsands project and pipeline failure,Economic & Fiscal Policy,
Alsands project economic impact,Economic & Fiscal Policy,
Alsands project funding,Agriculture & Natural Resources,
Alsands project negotiations,Agriculture & Natural Resources,
Alsands project postponement and global megaprojects,Economic & Fiscal Policy,
Alsands project private sector involvement,Economic & Fiscal Policy,
Alsands project profit guarantee,Agriculture & Natural Resources,
"Alsands, Cold Lake and Alaska gas pipeline projects",Agriculture & Natural Resources,
Alyeska pipeline and west coast tankers,Trade & Industry,
Amax mine tailings disposal in Alice Arm,Agriculture & Natural Resources,
Amax mine tailings effluent in Alice Arm,Agriculture & Natural Resources,
Ambassador Reisman's public statements,Government Operations & Ethics,
Ambassador Reisman's remarks on free trade,Trade & Industry,
Ambassador Ritchie's memorandum on architectural firm,Government Operations & Ethics,
Ambassador Warren's tenure termination timing,Government Operations & Ethics,
Ambassador's reported statement,Foreign Affairs & Defence,
Amchitka Island nuclear test effects,Foreign Affairs & Defence,
Amchitka blast disquiet,Foreign Affairs & Defence,
Amchitka decision and nuclear testing,Foreign Affairs & Defence,
Amchitka nuclear test,Foreign Affairs & Defence,
Amchitka nuclear test notification,Foreign Affairs & Defence,
Amchitka nuclear test opposition,Foreign Affairs & Defence,
Amchitka nuclear tests,Foreign Affairs & Defence,
Amchitka nuclear tests and representations to US,Foreign Affairs & Defence,
Amchitka test and parliamentary privilege,Parliamentary Affairs,
Amchitka test cancellation,Foreign Affairs & Defence,
American firms managing Canadian hospitals,Social Policy,
American garbage dumping in Eastern Townships,Agriculture & Natural Resources,
American media influence on Canadian values,Trade & Industry,
American proposals for monetary and trading problems,Trade & Industry,
American waste in Canada,Agriculture & Natural Resources,
Amherst Aerovox plant closure,Trade & Industry,
Amherst island ferry ice channel,Agriculture & Natural Resources,
Amnesty International and human rights advocacy,"Justice, Rights & Immigration",
Amway of Canada Limited tax recovery,Economic & Fiscal Policy,
Anatoly Shcharansky landed immigrant status,"Justice, Rights & Immigration",
Anatoly Shcharansky's release,Foreign Affairs & Defence,
